[07/09/22 17:21:01] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 30 %				CPU Clock: 0 MHz				CPU Temp: 37 °C				GPU Usage: 11 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1298 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7205 b				SWAP Usage: 13135597568 b				SWAP Free: 9880588288 b
[07/09/22 17:21:45] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 37 %				CPU Clock: 0 MHz				CPU Temp: 50 °C				GPU Usage: 10 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1297 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7137 b				SWAP Usage: 13048717312 b				SWAP Free: 9967468544 b
[07/09/22 17:21:54] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 27 %				CPU Clock: 0 MHz				CPU Temp: 47 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1297 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7140 b				SWAP Usage: 13045616640 b				SWAP Free: 9970569216 b
[07/09/22 17:22:13] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 28 %				CPU Clock: 0 MHz				CPU Temp: 49 °C				GPU Usage: 10 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1297 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7142 b				SWAP Usage: 13050290176 b				SWAP Free: 9965895680 b
[07/09/22 17:23:42] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 64 %				CPU Clock: 0 MHz				CPU Temp: 44 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1288 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7149 b				SWAP Usage: 13040852992 b				SWAP Free: 9975332864 b
[07/09/22 17:23:50] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 44 %				CPU Clock: 0 MHz				CPU Temp: 47 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1287 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7141 b				SWAP Usage: 13032968192 b				SWAP Free: 9983217664 b
[07/09/22 17:25:01] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 37 %				CPU Clock: 0 MHz				CPU Temp: 49 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1281 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7155 b				SWAP Usage: 13039669248 b				SWAP Free: 9976516608 b
[07/09/22 17:25:45] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 64 %				CPU Clock: 0 MHz				CPU Temp: 47 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7316 b				SWAP Usage: 13066670080 b				SWAP Free: 9949515776 b
[07/09/22 17:26:24] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 56 %				CPU Clock: 0 MHz				CPU Temp: 47 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1274 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7290 b				SWAP Usage: 13303234560 b				SWAP Free: 9712951296 b
[07/09/22 17:29:35] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 27 %				CPU Clock: 0 MHz				CPU Temp: 37 °C				GPU Usage: 10 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1274 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7156 b				SWAP Usage: 13149859840 b				SWAP Free: 9866326016 b
[07/09/22 17:30:44] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 22 %				CPU Clock: 0 MHz				CPU Temp: 47 °C				GPU Usage: 8 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7169 b				SWAP Usage: 13137203200 b				SWAP Free: 9878982656 b
[07/09/22 17:32:19] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 34 %				CPU Clock: 0 MHz				CPU Temp: 47 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7214 b				SWAP Usage: 13186662400 b				SWAP Free: 9829523456 b
[07/09/22 17:32:34] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 29 %				CPU Clock: 0 MHz				CPU Temp: 36 °C				GPU Usage: 10 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1276 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7181 b				SWAP Usage: 13163122688 b				SWAP Free: 9853063168 b
[07/09/22 17:33:40] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 24 %				CPU Clock: 0 MHz				CPU Temp: 36 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1276 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7181 b				SWAP Usage: 13177872384 b				SWAP Free: 9838313472 b
[07/09/22 17:33:59] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 26 %				CPU Clock: 0 MHz				CPU Temp: 44 °C				GPU Usage: 11 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7192 b				SWAP Usage: 13172211712 b				SWAP Free: 9843974144 b
[07/09/22 17:34:06] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 30 %				CPU Clock: 0 MHz				CPU Temp: 46 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7194 b				SWAP Usage: 13170417664 b				SWAP Free: 9845768192 b
[07/09/22 17:34:10] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 13 %				CPU Clock: 0 MHz				CPU Temp: 37 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7204 b				SWAP Usage: 13167980544 b				SWAP Free: 9848205312 b
[07/09/22 17:34:24] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 25 %				CPU Clock: 0 MHz				CPU Temp: 36 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7201 b				SWAP Usage: 13172854784 b				SWAP Free: 9843331072 b
[07/09/22 17:34:34] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 22 %				CPU Clock: 0 MHz				CPU Temp: 37 °C				GPU Usage: 10 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7197 b				SWAP Usage: 13179027456 b				SWAP Free: 9837158400 b
[07/09/22 17:34:42] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 30 %				CPU Clock: 0 MHz				CPU Temp: 45 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7208 b				SWAP Usage: 13182148608 b				SWAP Free: 9834037248 b
[07/09/22 17:34:50] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 28 %				CPU Clock: 0 MHz				CPU Temp: 38 °C				GPU Usage: 11 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1276 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7210 b				SWAP Usage: 13182054400 b				SWAP Free: 9834131456 b
[07/09/22 17:35:00] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 23 %				CPU Clock: 0 MHz				CPU Temp: 38 °C				GPU Usage: 9 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1275 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7215 b				SWAP Usage: 13186277376 b				SWAP Free: 9829908480 b
