[07/11/22 00:04:45] Latency: 25 ms				Upload: 8587 b/s				Download: 27353 b/s				CPU Usage: 96 %				CPU Clock: 0 MHz				CPU Temp: 54 °C				GPU Usage: 77 %				GPU Clock: 2076 MHz				GPU Temp: 65 °C				GPU Memory Usage: 2848 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 71 %				GPU Fan Speed: 66 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 9311 b				SWAP Usage: 20024754176 b				SWAP Free: 3893309440 b
[07/11/22 00:14:45] Latency: 16 ms				Upload: 844 b/s				Download: 1366 b/s				CPU Usage: 82 %				CPU Clock: 0 MHz				CPU Temp: 53 °C				GPU Usage: 18 %				GPU Clock: 1506 MHz				GPU Temp: 52 °C				GPU Memory Usage: 3020 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 34 %				GPU Fan Speed: 66 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 9263 b				SWAP Usage: 20145082368 b				SWAP Free: 3772981248 b
[07/11/22 00:24:45] Latency: 16 ms				Upload: 716 b/s				Download: 1083 b/s				CPU Usage: 12 %				CPU Clock: 0 MHz				CPU Temp: 44 °C				GPU Usage: 3 %				GPU Clock: 1506 MHz				GPU Temp: 43 °C				GPU Memory Usage: 1198 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 61 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 7575 b				SWAP Usage: 15647084544 b				SWAP Free: 7369101312 b
[07/11/22 13:32:20] Latency: 0 ms				Upload: 0 b/s				Download: 0 b/s				CPU Usage: 100 %				CPU Clock: 0 MHz				CPU Temp: 49 °C				GPU Usage: 9 %				GPU Clock: 1076 MHz				GPU Temp: 32 °C				GPU Memory Usage: 632 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 52 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 4218 b				SWAP Usage: 7102251008 b				SWAP Free: 15913934848 b
[07/11/22 13:42:23] Latency: 17 ms				Upload: 176 b/s				Download: 120 b/s				CPU Usage: 79 %				CPU Clock: 0 MHz				CPU Temp: 49 °C				GPU Usage: 3 %				GPU Clock: 1506 MHz				GPU Temp: 43 °C				GPU Memory Usage: 2811 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 32 %				GPU Fan Speed: 61 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 8702 b				SWAP Usage: 17309519872 b				SWAP Free: 5706665984 b
[07/11/22 13:52:23] Latency: 26 ms				Upload: 392 b/s				Download: 665 b/s				CPU Usage: 75 %				CPU Clock: 0 MHz				CPU Temp: 54 °C				GPU Usage: 55 %				GPU Clock: 2076 MHz				GPU Temp: 61 °C				GPU Memory Usage: 2839 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 75 %				GPU Fan Speed: 66 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 8188 b				SWAP Usage: 16774852608 b				SWAP Free: 6241333248 b
[07/11/22 14:02:23] Latency: 52 ms				Upload: 24251 b/s				Download: 717002 b/s				CPU Usage: 58 %				CPU Clock: 0 MHz				CPU Temp: 44 °C				GPU Usage: 7 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1285 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 57 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 6284 b				SWAP Usage: 12435394560 b				SWAP Free: 10580791296 b
[07/11/22 14:12:23] Latency: 24 ms				Upload: 1265 b/s				Download: 10311 b/s				CPU Usage: 14 %				CPU Clock: 0 MHz				CPU Temp: 36 °C				GPU Usage: 1 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1278 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 6549 b				SWAP Usage: 12693221376 b				SWAP Free: 10322964480 b
[07/11/22 14:22:23] Latency: 24 ms				Upload: 230 b/s				Download: 493 b/s				CPU Usage: 22 %				CPU Clock: 0 MHz				CPU Temp: 37 °C				GPU Usage: 4 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1339 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 6644 b				SWAP Usage: 12878082048 b				SWAP Free: 10138103808 b
[07/11/22 14:32:23] Latency: 98 ms				Upload: 354 b/s				Download: 947 b/s				CPU Usage: 25 %				CPU Clock: 0 MHz				CPU Temp: 39 °C				GPU Usage: 2 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1358 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 6747 b				SWAP Usage: 13172916224 b				SWAP Free: 9843269632 b
[07/11/22 14:42:23] Latency: 19 ms				Upload: 2070 b/s				Download: 180 b/s				CPU Usage: 13 %				CPU Clock: 0 MHz				CPU Temp: 37 °C				GPU Usage: 2 %				GPU Clock: 1506 MHz				GPU Temp: 39 °C				GPU Memory Usage: 1291 MB				GPU Memory Clock: 0 MHz				GPU Voltage: 0 v				GPU Power: 0 %				GPU Fan Speed: 56 %				GPU Fan Speed: 0 RPM				RAM Usage: 0 MB				RAM Free: 6899 b				SWAP Usage: 13255331840 b				SWAP Free: 9760854016 b
